text,label
O di mma. O ka mma ka a na eme ya n'obodo o bula... Okwu gi di mma https://t.co/dzOCmgO3XY,positive
@thenym_ph Or ma agbalie gi elu🙄,negative
LUBREX Maka odi ma ugbo ala gi 🙏🙏🙏 https://t.co/HjjFJ5rgDq https://t.co/Z7H85DnZWC,neutral
Òtítọ́ dịrị Olisa nà onyinye ndụ na arụ sịrị ke. Igbo wee mmadụ udo dịrị anyị ncha #IgboTwitterCommunity #IgboAmaka,positive
@anambrachic O dikwa egwu😂😂😂😂,negative
@oyibo_ugbo @favogbuji @judith83050019 @ochomma_ @mazi_ikemba @chief_vera @JiggaX07 @OgbaMichael1 @chudimaris Éewu Mgbe ọzọ,negative
@FBanks7 @mrmanodili Ima akwukwo nna.. Ukwu nwelu nti eji anu ife,neutral
@AfamDeluxo Lmao Awka na ebi ajo ndu,negative
"Oya chetam ugbua ugbua!""@uyaka1: Onye rie ya chetakwa nwanne ya""",neutral
"@Cyndii_peter Nne mba nu, ana ahu oka na filling station",neutral
"Blessed birthday to the African No 1 producer , Udo dili gi blooda @masterkraft_ 🤟🏽🤟🏽🍷🍷💯💯🎸🎸 Birikwa Ezeubo 🤙🏽🤙🏽 #udo #chidubem 🍾🍾🍾 @ Lagos, Nigeria https://t.co/IX7CofG3Ks",positive
"@AmBestmanBuka Nna ehh, ụfọdụ ụmụ nwoke dara iberibe 🤦🏽‍♂️",negative
@AMADICHIMA No mind am. Igbo kwenu,positive
@OgbajiIfeanyi @lady_uchechukwu Oginikwa ka afam na eme ebea..,neutral
"@IgboBible Ekelediri gi Nna, ezi CHUKWU anyi ekele gi Nna ihe in a emere anyi erika",positive
"Burials and weddings... Ndị na ọchị, ndị na akwa",neutral
@walteruude Rapụ ndị nzuzu,negative
"Taa!! Nnaa, gaa zuru ike. https://t.co/izWxsFTOc0",negative
"@BloomsALot Nwanne, gbaalia metu ya onu.",neutral
Ofu nwa ada mara mma no Awka bikonu bia na DM kai kpaa.🤦🏾‍♂️🤦🏾‍♂️,positive
Look at Kimberlychukwu!! Nwa oma😍 https://t.co/ahdmjoGOOu,positive
"@oziudo Igwakwa gi nke Wu eziokwu Nwannem, ha mechara nyem 2 years double entry but ehn achorom e delete this post . Obi ezubegim Ike ndia anagi achi Biko",neutral
Ifea abughi ezigbo akuko I kent forgive this. Agam amunye mmadu oku https://t.co/LwlU2H4AN3,positive
@_MhizUnderstood @OlisaOsega 😊 A wu m onye Mbanagu,neutral
Kita ka Ndi Mgbua na etete n' ula @OgbajiIfeanyi @AfamDeluxo @UchePOkoye @Munashalom @Anambra_girl @its_bugatti https://t.co/gKv0wnlC0y,neutral
Nobody ugly oooo Obu ego na akpari mmadu https://t.co/GdSQUyJZkF,negative
Onye jebelu ije; olue uno.... Zoro nwoke anyi came around for the… https://t.co/UnjU4p93NJ,neutral
@Lordchukzy @chaigzy @CDazlyn @ChinenyeNoy @AfamDeluxo @NkyEzenwa @ChisomOfficial @Chukwunonyerem9 @TheProfessaw @ESC_Nobleman @Ubanized Rijuo nsi onu dia... Nkea abuluzia gini.. Alako kwana muna chairmo ooh before kitikpa agbasa gi isi,negative
"Cass nwoke oma. The only nwoke omata on twitter 😜 Happy Birthday dearie. Arụ ịsị, ọganihu ya na ogologo ndụ ka mụ na ekwubi na ịsị gị taa, ya na ụbọchị nile nke ndụ gi. Ọ kwa aga egbu azụ taa?? Kedu ebe anyị ga etinye arụ? Atani ga adikwa sharp oh. @Cassbeatz19 https://t.co/VKMyR0Y5Ty",positive
Maka Chi Lukaku bu ezigbo iti...,negative
Negodu mama mmadu 🤦‍♂️ https://t.co/gl9WFQQclZ,negative
Chukwu gozie gi jare 🙌👏👏 https://t.co/aK9433Idp2,positive
"@FBanks7 Ndị fake and stress-filled life, bịa ịma ụmụ chasis aka oo",neutral
@Talion_D_Ranger @bittaleaf @yemialadee Nsogbu dị kwa.... Ife corona na cause... 😩😩,negative
@Postsubman Zuzuru Getaway from here... Onye nkogheri...,negative
"@AdannaPapa @AmakaPat_ 🤣 🤣 🤣.. Agwọ Sia onye ala, ọ gaghị ahapụ ntamu..",negative
@jacksonpbn Kaa sir Tasie Amaghim I bu Onye Nkporo,neutral
Happy birthday Oga @Poshfelly I bu nkwu anu..🙌🙌 Onye nwe anyi gozie gi 🙏🙏🙏,positive
@Dara_Sketche @Kestim_ Thunder fire onu gi ji ekwu ụdịrị ihe a,negative
@MaziIbe_ Happy Birthday Man. Chukwu gozie gị,positive
"Nwa dibia adi anwu ka ofeke. Ikechukwu, @iykimo iga adi k'echi maka echi adi agwu agwu. Gaa n'iru nwanne mmadu. Kwulu n'eziokwu. Ya gazie! 🙌",positive
@SimbiNnewi @HonNonny @Coal_City @AdannaPapa @chaigzy @kingsleynovich @mrmanodili @chuks_nadia @Kene_Nnewi Odika ịbụ ọjị ọnụ 😂,negative
🔊 JEHOVAH IDI EGWU Jehovah Idi Egwu Jehovah eeehhh Idi Egwu Jehovah eehh🔊 #Solid #ThanksGiving #TECGreaterLekki,positive
@Neneukwe @SubDeliveryZone Nne iwu onye ngwa?,neutral
"@MadamCondensed Ngwa bianu, Onye Nkem... ututu Oma 🌹",positive
@bettyjunes_ @Mr_kunlecole 😂😂😂😂😂😂 I di sure na the okiri agbawabero ya isi,negative
@nwaorakwue Ona ewute gi na anam eme nlacha ka nwa osa???? 😕,neutral
@Cassbeatz Akam bu ezigbote nwata killi kana awu aru n’ afo.. Itokasirim aru nah,neutral
@UgwuObiajulu Kpotokpoto ga - agba na iru efi ubochi ahu... Anyi ga - ahu ndi kwadoro ofuma Ada ide ekelekwa gi...,positive
@MobilePunch @Ugoking lekwa onye ara 😂,negative
I bu onye nzuzu! 🤦🏾‍♀️ https://t.co/tuihPOz2Ae,negative
"Mmadu, ntu k'ibu na ntu ka i g'alaghachi https://t.co/wxjx4ILPb9",neutral
Bia Chuks gbuputa anu ahu itinyere n’ onu gi https://t.co/xmt6gMnkWa,neutral
@AfamDeluxo O siri nke ozo na beer adiro ya mma na aru,negative
@Kelsonwa No be off I see event. Ndi Enugu bu aka gum,negative
"They know. They are just stingy to doll out money. Ndi Igbo si: ""mmiri na-ama ohu, ya a na-amakwa onye kpo ya."" https://t.co/gp3bQMLtAp",neutral
"@S_mattahorn @Jesuonyem 😂 😂 ya ehh, m nweta gị...",negative
@fazfunkie Maka Chi. Na ochichi Buhari a? Ka mmadụ na-eje eyi udi akwa ahụ 😂🤣,negative
"God bless you, @Splendi73836507. N'eziokwu, nwanne di na mba.",positive
Ozoemena. Ogaghi eme ozo https://t.co/lcg76GyMj6,positive
@phynofino chukwu gozie gi! Your down to earth.,positive
"@OgeeIke Ọdịmma, ka ubosi taa maara gị mma otu isi welu maa mma.🤗",positive
"Okwanu onye enyere, ya nye kwa https://t.co/azdJW75Wcy",neutral
@Okafor_Mang Chai! Iwe onye a enwero part 2,neutral
@Mrmanhere_ Lmaoooooo Onye iberibe.. I na eko eko o,negative
Nwanne!! Obodo di mma.. Ekele diri Olisa 🙌🏼,positive
"Hmm,,ihe mmadu ana amaghi erika https://t.co/hlSBzQQDkU",neutral
@obiora_okenchi @melb_mab @thereal_honey_ Okwa ima Na Chukwu bu Chukwu second chance? Kedu k’isi buruzie one chance?,positive
@Chimnoya1 Ndị Nnewi na-eji ụgwọ? Na akpi nkpị? Chai 🙆‍♂️ @martphenomics Ndịa egbue ndị Nnewi!,neutral
"🎶 Ebezina, Chukwu non nso Ogini bu’ nsogbu gi? Imana odi ah diegide Nwanem oh, gide sie ike Hich’anyi gi eh Chukwu adighi atu’asi Oga diri gi nma 💃🏽💃🏽💃🏽",positive
@EmekaEzeibe @IkukuomaC @S_mattahorn @Ujamidaize @AdannaPapa @afamdeluxoo @Umu_Igbo Ogbuefi dashia m ego 😪,neutral
Lmao! Buhari sokwu na ndị President?,neutral
I na atupuru ndi nzuzu onu https://t.co/CsYL26qUIB,negative
"@imosocials @OwerriUpdate @chic_owerri @AdaOwerri Ọ so. Ị lu nwaanyị a ghọrọla ihe ọzọ. Ebe ha ma otú ihe siri dị n'obodo, ọ bụ e kwesidị ịji ọgụgụ isi ha e dee list? Nke ha bụ ịna-akpọọ afa ego afa ego",neutral
"@Camardean Bros like Oga Amaechi talk na Abia no dey Kwara levels at all jaare, we can see &amp; feel da difference, iyato wa!!!",neutral
@universalbigb @BBNaija Nzuzu ya di few mush!,negative
"Nna m, ike gwuru. Umu nwoke anyi nwe ugbua adiro nma ikpo ha Dimkpa. https://t.co/KeRaD4Bni6",neutral
@Dennis_N_Amy @sultanofAba Who hack you? Isolation ji konji gbaa gi Gburu gburu.,neutral
Igbo Crossword puzzle🙂 Mkpụrụokwu olee ka ị na-ahụ ebe a? Biko deputa ya ka anyi na-amụta Igbo. #igbolanguagetutor #IYIL2019 #igboamaka #crossword #igbopuzzle #igbotwittercommunity https://t.co/SaNcfmlsC3,neutral
@Poshfelly Last one bụ nke ndị nche 😂😂,neutral
Ice block cos oge adiro,neutral
"@Kestim_ @JauntyUnachukwu @theomego @dagabangell @EzeokoliA @finearsewoman Ooooshey Nwanne, Udo nke onye nwe anyi diri gi na ezi n'ulo gi!",positive
@littlezina2205 @OkonkwoPerez @UchePOkoye Ịchọrọ shí ego ya gwụ overnight ọkwa ya..? Bịa Nigeria 🇳🇬 bịa mee nini? Eji Nigeria eshi ofe?,neutral
@Oli_AdaViv @TBPstoreNG Da'alu nwanyi oma ✌,positive
"@pemi247oropo aunty mi, e ne we iwe oku oh",negative
"@Ada_Ojilibeka Nwanne m ọma, ịbụkwa nụ Asa na onwe gị.",positive
@Miss_Haybee Kedu ebe di ifea?,neutral
"@AfamDeluxo A thief is a thief... Do not pass go. Do not collect 200. Onye ọbụla na-achị anyi nwere obi i buru ego ekwesiri iji wee mezie obodo mee ba anyi ka ọ di mma, onye ahụ di mma ije nga...",neutral
Ọga n’ihu m… Ọbụnadịghị ị nwere ike ịkwụsị m .. https://t.co/7QTYxOJPgY,neutral
@Blissfulnky @OgbajiIfeanyi Ị na ańaa ifeanyi ọnụ ọjọọ nti,negative
@Munashalom Muna ga-amuta nwa mara mma ga-adi ka mama ya... Hope I tried? Jisie ike Nwa Omalicha Ada Igbo ji eme mba @Munashalom,positive
@Drmuzoic @AdannaPapa @chaigzy @Ludarking0 @Lilymikell @okeugo_ @AkiMarlin @HonNonny @ebukakanary1 Echekwam ma ibu nwunye mmadu,neutral
@SheLovesArtemis @KCOFLIFE @DONJAZZY @rihanna Isi gini mee gi !!,neutral
Egbe belu ugo nke si ibeya ebenna..nku kwaya...!!,neutral
@Spiffy_Vera Good PR Ndi mmuo.,positive
Ha ebidokwala ozo . Ha na ariputakwa nwayo nwayo . Ha sizikwa na obu anyi bu Ndi Igbo na emebisi ihe Ndi be ha na Lagos na Abuja . Umu Igbo ka anyi kere nkwucha makana nkwucha abughi ujo ! Nwanne anyi Nwoke bu Mazi Kanu biko Ndi no ya nzo gwanuya ka ojiri nwayo na utu onu !,neutral
@Dr_Nwaneki @AfamDeluxo Umu dimkpa Ipob na eche gi na iro..,neutral
@cchukudebelu @oscarchuks biko dutelu anyi mmadu from mgbago inu😂,negative
And Buhari open mouth talk say na false news ị ga-anwụ ọnwụ na-egbu mgbu. A ga-eme nke ahụ https://t.co/DR2BvcsFje,neutral
"@iamprincegyasi @oluseun_ I don’t know o, but ọ buru na i guzo ọtọ tua nwanyi ime, ọ gāmu onye ara!",negative
@AdakuNonso Eyaaaa. Nwu mmiri.,neutral
@Ter_iza1 @Coal_City Nne e bu onye ebe Na Enugu?,neutral
"@mynameischiz Haha. Ele gini? Nwanyi, Kedu ubosi e subakwa imo? 😒",negative
"@iamtenseven Nna, onye akpuobi sabi chop.",neutral
Chief Osita Osadebe - Agbalu aka n'azo ani 🎶 Onye ji iji ka n'a ko ye nu... 🤪,neutral
@iam_realjayson Ike guru m o,negative
"Touts/hooligans won't boldly threaten Igbos to vote Sanwo olu or risk losing their lives&amp; property without a strong backing from LASG&amp; Jagaban. Dear Igbos, oburu na Pdp na party ndi ozo achoghi iweputa ndi ga-eche unu nche we tua vote, nodu n'ulo!!! Murunu Anya ka azu!!!",neutral
"@EmekaAmakeze @OsitaAmakeze More Grace Onye Ukochukwu,",positive
@IkukuomaC @FabrizioRomano Nsogbu digodi next season for Arsenal😂,negative
Oburu na mmadu bu chukwu...sigh,neutral
@charles_ogb_ @OgbajiIfeanyi @urchilla01 Ike unu gwụrụ mmadụ,negative
@jennyaghasili Nke abughi ihe bed oo. Okwa bathroom maka mmiri ka na agba ka tanzanian falls,neutral
@ChidiZeus 😂😂😂😂 ndi IJGB nawazie obodo u'nu.,neutral
@ChiefOjukwu Kwee m nkwa na ụbọchị ọzọ anyị ga afụ na nkọrọ ahụ na ị ga agwa m na ọ bụ gị 😔,neutral
@Poshfelly Mad o. Kedu udi ura di nke a?,neutral
@hand2ome Nna I echezọ go Olilo udaume gi,neutral
#BBNaija. Ozo ezigbo mmadụ #OZOnasureGuy,positive
Ųmų nna na ųmų nne lèèhà👇👇👇 #WednesdayWisdom #WednesdayMotivation https://t.co/sT5Ty9rniO,neutral
@Okenwaokodu Ezigbo nwa onye Igbo 🙌🙌🙌,positive
"Maka oganiru Ndi Igbo. ""Anyi ma na igbo amaka"". We respect igbo culture and put them first in… https://t.co/lGFahiUiYs",positive
"@KingsleyUzoma2 Nadal, ke way gi na, apunmaka nwanne",neutral
Lolz. Onye nkuzi o wu nini? https://t.co/OGbW9UmzDP,neutral
@OsitaAmakeze @Kene_Nnewi Chọọ 🙌 ịrụ kà Ịgbọ ji eri ọkwu,neutral
Ndi baanyi ekele kwam unu🙌 #schoolsreopening #BBNaijialockdown2020 #TuesdayThoughts #MosquitoClapChallenge #panicbuying #TheBluePrint https://t.co/KPov10tpBz,positive
"@onwukike_chioma @jtofashion Hahahah, mbakwa ọ. Nwa mmadụ chọrọ obere ezumike, nneghari anya ngwaọrị.😒",neutral
E gbata ofma m gburu gi ewu,neutral
@FBanks7 Guy idikwanu ajoo Wicked😆😆😆😆 Afa ehhhhh.... Egwu dikwa,negative
@nlemclare Isee oo.. Gozikwa gị nne,positive
@ebukaamadi 😂😂😂 Nna'm biko hapu'm aka... Anyi na acho onye ge ye anyi assurance. 😂😂 Pharm nno kwa ya o,neutral
@AdannaPapa Ọ bụghị asị... Mana ole n'ime ha ka isi dị mma??,negative
Tuorom Jesus otu aha. #omeiheukwu @ Iju Station https://t.co/fKFg5DCg0n,positive
"@ogbonnaya_mark @OsitaAmakeze @Umu_Igbo Ugo chaa achaa Ma, ugo ebela ebe. Onye ugo bere n'isi Bụ onye nwụrụ anwụ. Ugo rie awọ, Mma ya arụọ, Maka na ISI AKWỤ DARA N'ALA Edetụla aja! Ọ bụrụ na i gughi akwụkwọ a, mara na i maghi akwụkwọ Igbo tọrọ ụtọ nke ukwuu!",neutral
"@Chukwunaedum @AfamDeluxo @OlaraonyeCA Nwanne nkem ,Onye ana etu nwere ihe o na eme. Ichie @AfamDeluxo ,mere gaba n'ihu na anyi kwu gi chim n'azu(aka olu gi di anyi mma)",positive
@demoze7 Jisikwa ike Nwanne!,positive
Onye nkuzi you re missing out https://t.co/M4TNifo1FB,neutral
Ezigbo Nonsense lmao https://t.co/rxHBrc4jtJ,negative
@bakaresimbiat Mechie onu osiso. Iti boli bor,negative
"Bia Nwokem, Obu ebe obula ina aga ijiri ncha na sanitizer na agaghari? Orugo na udia na igaghi edinwu igbo ncha till inaruo your house.. 😏😏 https://t.co/fZ0h5WXgU6 https://t.co/9ZZ9UI3Xih",neutral
#MakeUnaWakeUpShow wit @yawazobiafm @mayowaLambe @realchechesmith @onakuale #Np Ziga Ozi #SonnyOkosun #OldSkoolThursday,neutral
@ThatSomto Chukwu agizigo gi,positive
@ChigozirimUdeh Chi Chi nwanyi obi oma,positive
@Poshfelly Nwanne ala dalada adago....nke kwuo oto ga kwa dakwa,neutral
Bịa nwokem @eezzyy01 nkwụ enu adigo kwa set maka ọgbakọ Ụmụ Igbo echi?,neutral
Be like nga alụ more than one judging by that @AfamDeluxo's thread. Onye ga àlà ụmụ ọma ǹkà n'ụlọ só one?,neutral
Kilikpa lacha gi anya ebe-ahu idiot,negative
@KMR42 @iSlimfit Ụtụtụ ọma sir,positive
Chukwu na edu m Although sometimes m na atu egwu Mana m tugharichaa uche a na m ahu oru ebube chukwu,positive
@OsitaSommy @AdannaPapa @EzelioraS @igwe_johnny Oge ahu gbuo gi dia.. Esi beegi eje bee onye kwanu..,negative
The Chukwu AGOZIGO Gi Video!! https://t.co/a0QPBGQZnU,positive
Chineke nna ekwekwala ihe ọjọọ https://t.co/hEGxXeXEnC,negative
@chris_chuka @Eatndrown @Poshfelly Ọnye ekweghị ànyị ekwetari yá 😎,neutral
"Happy birthday ezigbo nne mu ochie @__nhyira__💐 Ka ife nile bu ife oma, aru isi Ike n'ogologo ndu buru nke gi, now and forever.. Amen! 🙏",positive
@Chysohm Haha Chineke mere gị ebere gị bu nwa,positive
"@JauntyUnachukwu @smirkgal @Ifeoma_Solanke @Pwetty_Nmeso @Dlaureate So, nne N'kpo gi, ezaa osiso! 😏😏",neutral
O biliwo O biliwo Jesu apoburu nelu obe Onye mmeri 🎼 🎶 https://t.co/zRDCqS2HQS,positive
Isi adiro gi mma guy😭 https://t.co/lMVZ8hkf0O,negative
@hand2ome Nnoye kwara gi🙏🙏🙏,positive
@Anambra_girl Kedụ ife na eme?,neutral
@igwe_johnny @Cassbeatz Na nke nwanne gi nwanyi,neutral
@chaigzy 🤣 🤣 Nwanne kedu kwanu ihe anyi na kpa there?,neutral
"@AC_aarony1 @Buttergirlll Nsogbu adịghị. Omego nụ ọnwa anọ kita, nke ahụ agbagọ. Niru Niru K'anyị n'eje.",positive
Ndi ara juru ebe a mehnnnn....🤣🤣🤣🤣🤣🤣🤣🤣🤣,negative
"@arize_chukwuma @ikenyelugo , 🤣 🤣 🤣 nweta nụ ego na",neutral
@DonWaga1 @Poshfelly Ebe o na kwa iko🧐🤔😏... mbambamba... o onwu ifele,neutral
Ụmụ asa ịgbọ makata... So mma 🙌😁👏 https://t.co/36290s1kO6,positive
"Onwu egbughi ji eji Chu aja, oga efu ome #IgboTwitterCommunity #IgboInvasion #Igboproverb",neutral
@mschykaa @DozieArabi_ Wow....... Chidozie..... Ji si Ike,positive
@BossetteJay @melb_mab As in ehn. Ndi mmadu enwero zi Obi ebele. 😂,negative
"Ekwee m! Oha na eze Twitter, abu m ori nri na ofe oha Aunty! 🙌🙌🙌 https://t.co/ru1847Z5eb",neutral
"Onye di ka gi o, chineke? ❤️",positive
Luiz efulefu mmadu,negative
Ọ gịnị zi mere anyị adịghị e mezi nwanne?,neutral
Jehovah idi egwu Jehovah Idi egwu #Praise #FARandMODE @obedclothiers @thesegunaluko @Anoke_DC @Diamondprincwes @suwaosazuwa @rccghq @RCCGNY,positive
Ndị ala ndi ala Lele lekwa ha https://t.co/ChVN2EX35Q,negative
"@cchukudebelu O di na iwu mana aga azota ana wee zoba ute, Onowu. Kee mgbe ana akpo anyi oku?",negative
@Tobybabyy Don't oo Maka ndu gi😂😂😂😂😂😂,negative
"@mmauloma Asa, ụtụtụ ọma",positive
"In Igbo, we say: ""ikpulu dị n'azụ bu anụ"" 😂 https://t.co/tEkmBJbi9k",neutral
Ife bi eji owurooo 😍 https://t.co/fymaCMfes0,neutral
@PapiCruncha Ndi mbaise na enyekari nsogbu 😂,negative
@CynthiaOlaedo4 @Shawn_fendi @AfamDeluxo Obele aru adiro gi😂😂😂😂,negative
▶ Nke Ji Keke || @rudeboypsquare #UrbanBreakfast with @radiosbb1 94.5 📻 #BreakfastwithBigBrother 🎶🎶 #WhereMusicLives @judeengees https://t.co/Pvxun5xttb,neutral
Ekele dịrị gị Chukwuabiama🙌🙌 Ọ bịara egbu mụ gbuo onwe ya! Chineke ụmụ ntakịrị daalụ oo!🙌🙌 https://t.co/lUnYQIlVa4,positive
@Eatndrown @AdannaPapa @ebukakanary1 @Salttybarber @TheProfessaw @CynthiaOlaedo4 @chris_chuka @lennyntwana @AfamDeluxo @HonNonny @mazi_Fizo @FBanks7 @AdaugoOsina @chuks_nadia @Kene_Nnewi @Kena_Ewuru @nonsookongwu Nnem Chukwu go zie gị na nkà I kwụrụ 🙏🙏,positive
@Ada_Ojilibeka Ndi uwa si na fa tinyere ego na parfum,neutral
@AfamDeluxo Nne iga lachasi coldstone icecream? Bia kene ka'm gwa gi ife 🤣,neutral
@iam_realjayson Imanu ihe oru nyere na 😂,neutral
@FisayoDairo He will not abawala gi aka but may gbawala gi aka,neutral
😇▶️IGBO MEDLEY by @timgodfreyworld | #InspirationalHour with @BellaRoseO Umu Chineke eee!,positive
E nwere udi obi anuri ga-adi nwoke n'ime ma o mee nwanyi ga ikpu ya gba mmiri ma ebe o furu na ukwu nwanyi o na-ala na ama jijiji. O na-enye Endorphins.,neutral
@Dasucre @Omezuo1 😂😂😂 Osi no privacy. This my Awka-Etiti sister ina enye Nsogbu ooo 😫😫,negative
Nwaeze adighi efu n’mba! 🇳🇬 https://t.co/WQh1CLDyhm,positive
@realchukwuebuka @Vaness_ah Kedu kwanuu ihe bu ihe a onye nke a dere biko😡 Umunwaanyi na agwu ike to God,negative
Haew God! ezigbo nwanyi 😍 https://t.co/8zeX5fJ84n,positive
@OsitaAmakeze @CynthiaOlaedo4 @IgboDances @igbolectures @OgbakoUmuIgbo @wikimediaigbo @iLundiIgbo @mbidoigbo @igbogaadi @IgboProverbs_ @IYIL2019 @voiceoftheEast Arịrị 😢 Ewo!! Jee nke ọma Ọgbu ọjà,positive
"@Uncle_Malcolm @Burmese_Tyga @chuuzus @KneWKeeD 😂😂😂 nwanne igbu gom....ona cho atu oga la, ebe ndi ibeya Na kpata ego, ona korom sexy.",neutral
@Valhalla_X0 Chai! sorry Bros. na anukwa ogwu gi oo.,neutral
"HBD Onyeoma, chukwu gozie gi , more hits, birikwa @iam_gibson blessings @ Lagos State House Of… https://t.co/khKgS4W4Zn",positive
"I nara afu dimkpa I nu isi ego, gwa that man mesie onu ka onu isi ego, umu nwanyi ga aku isi ma ha nu isi ego💃💃...........",neutral
"I di a wu juice, soso nke na ba na anya!!!!",neutral
@lolooge Lol... MBA but ya noro ebe obula ono,neutral
@urchilla00 Onye alulu enu a. Jack apiawakwulu gi azụ??,neutral
"E be Mbaise road di otuh, kedu ka Umuahia GA di🤔 👀👀 https://t.co/moNw0lmHd2",negative
@phynofino Okwadi taa bu ubochi Omumu gi?,neutral
🎵#MusicWenDeyPlay : Agam Aja Gi Mma 👨🏾‍🎤 - @Osogeme119 📻#SundayRunz w @uzezi_uduefe 👁️👁️✨ 👄,positive
@ChukwuebukaEmj @chydymmarh @zubyIII Ibu ezigbo okpo 3buka 🤣,negative
Singing: Onye neme mma lekwe ikperem nala.... #IMELA #AfricanPraise,positive
